text,label
"When robot hordes start attacking major cities, who will stop the madman behind the attacks? Sky Captain!!! Jude Law plays Joe Sullivan, the ace of the skyways, tackling insurmountable odds along with his pesky reporter ex-girlfriend Polly Perkins (Gwyneth Paltrow) and former flight partner, Captain Franky Cook (Angelina Jolie).<br /><br />Sky Captain and the World of Tomorrow may look and feel like an exciting movie but it really is quite dull and underwhelming. The film's running time is 106 minutes yet it feels so much longer because there is no substance in this movie. The visuals were great and the film did a nice job on that. However, there is nothing to support these wonderful visuals. The film lacks a story and interesting characters making the while thing quite dull and unnecessary. I blame director and writer Kerry Conran. He focuses too much on the visuals and spent little time on the actual story. The movie is like a girl with no personality, after awhile it kind of gets bland and tiring. Sky Captain represents a beautiful girl with no personality. It's simply just another case of style over substance.<br /><br />The acting is surprisingly average and that's not really their fault since they had very little to work with. The main reason I watched this movie is because of Angelina Jolie. However, the advertising is quite misleading and she is only in the film for about 30 minutes. Her performance is surprisingly bland as well. Jude Law gives an okay performance though you would expect a lot more from him. Gwyneth Paltrow was just average, nothing special at all. Ling Bai's performance was the only one I really liked. She gives a pretty good performance as the mysterious woman and she was the only interesting character in the entire film.<br /><br />The movie is not a complete bust though. There were some ""wow"" and exciting scenes. There just weren't enough of them. The film just doesn't have that hook to really make it memorable. It was actually quite bland and it wasn't very engaging at all. It's too bad the film wasn't very good since it had such a promising premise. In the end, Sky Captain is surprisingly below average and not really worth watching. Rating 4/10",0
"""Hollywood Hotel"" has relationships to many films like ""Ella Cinders"" and ""Merton of the Movies"" about someone winning a contest including a contract to make films in Hollywood, only to find the road to stardom either paved with pitfalls or non-existent. In fact, as I was watching it tonight, on Turner Classic Movies, I was considering whether or not the authors of the later musical classic ""Singing In The Rain"" may have taken some of their ideas from ""Hollywood Hotel"", most notably a temperamental leading lady star in a movie studio and a conclusion concerning one person singing a film score while another person got the credit by mouthing along on screen.<br /><br />""Hollywood Hotel"" is a fascinating example of movie making in the 1930s. Among the supporting players is Louella Parsons, playing herself (and, despite some negative comments I've seen, she has a very ingratiating personality on screen and a natural command of her lines). She is not the only real person in the script. Make-up specialist Perc Westmore briefly appears as himself to try to make one character resemble another.<br /><br />This film also was one of the first in the career of young Mr. Ronald Reagan, playing a radio interviewer at a movie premiere. Reagan actually does quite nicely in his brief scenes - particularly when he realizes that nobody Dick Powell is about to take over the microphone when it should be used with more important people.<br /><br />Dick Powell has won a Hollywood contract in a contest, and is leaving his job as a saxophonist in Benny Goodman's band. The beginning of this film, by the way, is quite impressive, as the band drives in a parade of trucks to give a proper goodbye to Powell. They end up singing ""Hooray For Hollywood"". The interesting thing about this wonderful number is that a lyric has been left out on purpose. Throughout the Johnny Mercer lyrics are references to such Hollywood as Max Factor the make-up king, Rin tin tin, and even a hint of Tarzan. But the original song lyric referred to looking like Tyrone Power. Obviously Jack Warner and his brothers were not going to advertise the leading man of 20th Century Fox, and the name Donald Duck was substituted. In any event the number showed the singers and instrumentalists of Goodman's orchestra at their best. So did a later five minute section of the film, where the band is rehearsing.<br /><br />Powell leaves the band and his girl friend (Frances Langford) and goes to Hollywood, only to find he is a contract player (most likely for musicals involving saxophonists). He is met by Allen Joslyn, the publicist of the studio (the owner is Grant Mitchell). Joslyn is not a bad fellow, but he is busy and he tends to slough off people unless it is necessary to speak to them. He parks Powell at a room at the Hollywood Hotel, which is also where the studio's temperamental star (Lola Lane) lives with her father (Hugh Herbert), her sister (Mabel Todd), and her sensible if cynical assistant (Glenda Farrell). Lane is like Jean Hagen in ""Singing In The Rain"", except her speaking voice is good. Her version of ""Dan Lockwood"" is one ""Alexander Dupre"" (Alan Mowbray, scene stealing with ease several times). The only difference is that Mowbray is not a nice guy like Gene Kelly was, and Lane (when not wrapped up in her ego) is fully aware of it. Having a fit on being by-passed for an out-of-the ordinary role she wanted, she refuses to attend the premiere of her latest film. Joslyn finds a double for her (Lola's real life sister Rosemary Lane), and Rosemary is made up to play the star at the premiere and the follow-up party. But she attends with Powell (Joslyn wanting someone who doesn't know the real Lola). This leads to Powell knocking down Mowbray when the latter makes a pest of himself. But otherwise the evening is a success, and when the two are together they start finding each other attractive.<br /><br />The complications deal with Lola coming back and slapping Powell in the face, after Mowbray complains he was attacked by Powell (""and his gang of hoodlums""). Powell's contract is bought out. Working with photographer turned agent Ted Healey (actually not too bad in this film - he even tries to do a Jolson imitation at one point), the two try to find work, ending up as employees at a hamburger stand run by bad tempered Edgar Kennedy (the number of broken dishes and singing customers in the restaurant give Edgar plenty of time to do his slow burns with gusto). Eventually Powell gets a ""break"" by being hired to be Dupre's singing voice in a rip-off of ""Gone With The Wind"". This leads to the final section of the film, when Rosemary Lane, Herbert, and Healey help give Powell his chance to show it's his voice, not Mowbrays.<br /><br />It's quite a cute and appealing film even now. The worst aspects are due to it's time. Several jokes concerning African-Americans are no longer tolerable (while trying to photograph Powell as he arrives in Hollywood, Healey accidentally photographs a porter, and mentions to Joslyn to watch out, Powell photographs too darkly - get the point?). Also a bit with Curt Bois as a fashion designer for Lola Lane, who is (shall we say) too high strung is not very tolerable either. Herbert's ""hoo-hoo""ing is a bit much (too much of the time) but it was really popular in 1937. And an incident where Healey nearly gets into a brawl at the premiere (this was one of his last films) reminds people of the tragic, still mysterious end of the comedian in December 1937. But most of the film is quite good, and won't disappoint the viewer in 2008.",1
"In Iran, women are not permitted to attend men's sporting events, apparently to ""protect"" them from all the cursing and foul language they might hear emanating from the male fans (so since men can't restrain or behave themselves, women are forced to suffer. Go figure.). ""Offside"" tells the tale of a half dozen or so young women who, dressed like men, attempt to sneak into the high-stakes match between Iran and Bahrain that, in 2005, qualified Iran to go to the World Cup (the movie was actually filmed in large part during that game).<br /><br />""Offside"" is a slice-of-life comedy that will remind you of all those great humanistic films (""The Shop on Main Street,"" ""Loves of a Blonde,"" ""Closely Watched Trains"" etc.) that flowed out of Communist Czechoslovakia as part of the ""Prague Miracle"" in the mid 1960's. As with many of those works, ""Offside"" is more concerned with observing life than with devising any kind of elaborately contrived fictional narrative. Indeed, it is the simplicity of the setup and the naturalism of the style that make the movie so effective.<br /><br />Once their ruse is discovered, the girls are corralled into a small pen right outside the stadium where they can hear the raucous cheering emanating from the game inside. Stuck where they are, all they can do is plead with the security guards to let them go in, guards who are basically bumbling, good-natured lads who are compelled to do their duty as a part of their compulsory military service. Even most of the men going into the stadium don't seem particularly perturbed at the thought of these women being allowed in. Still the prohibition persists. Yet, how can one not be impressed by the very real courage and spunk displayed by these women as they go up against a system that continues to enforce such a ridiculously regressive and archaic restriction? And, yet, the purpose of these women is not to rally behind a cause or to make a ""point."" They are simply obsessed fans with a burning desire to watch a soccer game and, like all the men in the country, cheer on their team.<br /><br />It's hard to tell just how much of the dialogue is scripted and how much of it is extemporaneous, but, in either case, the actors, with their marvelously expressive faces, do a magnificent job making each moment seem utterly real and convincing. Mohammad Kheir-abadi and Shayesteh Irani are notable standouts in a uniformly excellent cast. The structure of the film is also very loose and freeform, as writer/director Jafar Panahi and co-writer Shadmehr Rastin focus for a few brief moments on one or two of the characters, then move smoothly and effortlessly onto others. With this documentary-type approach, we come to feel as if we are witnessing an actual event unfolding in ""real time."" Very often, it's quite easy for us to forget we're actually watching a movie.<br /><br />It was a very smart move on the part of the filmmakers to include so much good-natured humor in the film (it's what the Czech filmmakers did as well), the better to point up the utter absurdity of the situation and broaden the appeal of the film for audiences both domestic and foreign. ""Offside"" is obviously a cry for justice, but it is one that is made all the more effective by its refusal to make of its story a heavy-breathing tragedy. Instead, it realizes that nothing breaks down social barriers quite as efficiently as humor and an appeal to the audience's common humanity. And isn't that what true art is supposed to be all about? In its own quiet, understated way, ""Offside"" is one of the great, under-appreciated gems of 2007.",1
This is the worst film I have ever seen.I was watching this film with some friends and after 40 minutes we had enough. The plot was bad and there wasn't a single likeable character.I could get more entertainment watching static. I gave this movie a 1 only because the scale didn't go into negative numbers. Avoid this movie at all costs.,0
"This movie is great! Brad Pitt will never be able to out act the performance he gave in this movie. Duchovny was top notch, as was Forbes and Lewis. The 4 main characters embark on a scenic road tour of historic murder sites, in one of the coolest cars ever made, 1960's model Lincoln Continental. Early Grace is a simpleton with a taste for dry toothbrushes and carnage. He likes his women to not curse or smoke, and wear PWT dresses. Duchovny and Forbes are a pair of artists from the city, while Early and Lewis are Trailer parkers from the rural outskirts. Even though the majority tone in the film is dark, there are plenty of funny scenes to be had. The writing, directing, and acting are brilliant. If you like road movies, murder, humor, and narration, watch this film. Everyone delivers, and you will want more when the credits roll. One of my all time favorites. ""hey...shave that dog n teach it to hunt!""",1
"Since the 70s, writer/producer/director Charles Band has been responsible for literally hundreds of science-fiction, fantasy and horror B-movies. Some of them are wonderful examples of how to use a tiny budget to maximum effect; many of them are pretty bad. Trancers (1985) was one of those rare gems.<br /><br />A Terminator style tale of time-travel and action, Trancers saw Tim Thomerson playing Jack Deth, a future cop given the task of tracking down bad-guy Whistler, who travels into the past by inhabiting the body of an ancestor. Whistler is capable of controlling other humans with his psychic powers, converting them into obedient zombies (the 'trancers' of the title), and attempts to alter the course of history by killing off the ancestors of the leaders of the future. Jack follows him to 1985, determined to stop him.<br /><br />In this 1991 sequel, Jack is still living in 1985. Having destroyed Whistler, he has settled down and married Leena (Helen Hunt), the young woman who helped him succeed in the first movie. But, for Jack, things don't stay calm for long, and trouble appears in the form of Whistler's brother, E.D. Wardo, who is trying to build a trancer army.<br /><br />Trancers II lacks the charm and simplicity of the original and is a huge disappointment considering how good the original was. The story is difficult to pick up if you haven't seen the first film (or at least not for a long while), and there is loads of unimpressive action and a few poor special effects. Gone is the inventiveness and wit that made Trancers so much fun; instead we get some cheesy one-liners and a script that feels like it was written on-the-fly.<br /><br />About the only reason I can give for recommending this film to fans of the genre is the cast, which boasts many names that will be familiar to followers of sci-fi and horror movies: Jeffrey Combs, Barbara Crampton, Richard Lynch, Martine Beswicke. Unfortunately, most of them seemed to be having an 'off day' whilst filming Trancers II, and performances are mediocre at best.<br /><br />The Trancers series obviously has its fans; four further sequels have since been churned out. Unless the quality has taken up massive upward swing, I can't imagine them being any good.",0
i LOVED IT and was SO shattered that there not making another season!!! i wish they would! it was the best show ever!!!!!! there's probably not any chance of them deciding to not cancel the show is there! ha ha i wish there was though! i would be so so excited!! i really would! I miss it! and was especially shattered not to know what happens to Jason!! i think they should make another one.... it i also think its silly that u have to writr ten lines to post a comment.. it makes your comment drag on..and no one will read it!! i really want to know what would have happened between jason and nicole... maybe they could make a spin off!!,1
"It's a pretty good cast, but the film has nowhere near the grace of the original Italian comedy ""Big Deal on Madonna Street"" Anyone looking for an entertaining caper film should visit the original. William Macy may be one of our greatest living actors, but here he's put to little use. And his role in the original was played by Marcello Mastroianni, so I sort of feel sorry for him trying to fill those shoes. Might as well try to imitate Bogart or a young De Niro. The art direction is rich and textured but brings nothing to the story, the extra bits they add to the story feel completely unnecessary and the things they take away are missed. Even starting the way they do seems bizarrely gratuitous and takes away from the surprise of the original. Sam Rockwell has his odd and genial charm and Luis Guzman has that odd charisma, but the love story part of the movie just seems clunky and flat. It's too bad nobody has figured out how to make this movie as well as it was first made, but then again it's too bad we live in a culture where we feel like we need to remake amazing things instead of simply learning to savor the originals.",0
"This should be my kind of movie. Even if it sucked, it still should have been right up my alley; hell, I like ""Congo,"" and ""Allan Quatermaine"" movies. I have a soft spot in my heart for silly alien/demon/adventure movies. Let's go over why I decided to watch this in the first place.<br /><br />1. Horror/Sci-fi almost always intrigues me 2. I'm a big fan of archaeology, and this movie does involve a rare treasure. 3. Super-natural enemies with quality FX. 4. Christian Slater and Dorf I generally enjoy. 5. Tara Reid is hot.<br /><br />So this movie had potential, at least in the cheese-horror section of the video store, but boy did it suck ass. The only redeeming aspects are Slater and Dorf, and not everyone finds them as entertaining as I do...I mean, let's face it, both are melodramatic. But now on to some of the many faults.<br /><br />Tara Reid. Even though the movie as a whole is worse, Reid's performance is truly awful. We're not just talking bad, I'm talking about nominating Tara Reid for worst performance of the year. I don't know if she is capable of acting, but playing the museum curator is simply out of her league...completely. Watching her try to carry the roll of educated scientist wasn't much different than what you get watching the setup in bad porn. I mean this isn't just bad, it is laughably bad. Oh, and for those of you curious, she doesn't get naked, only down to a bra in a silly, totally unnecessary love scene.<br /><br />Even with Reid's performance, perhaps the movie could have worked, but the plot is what dominates, and the plot seems written by a 10 year old. I hadn't realized this was a video game adaptation until AFTER watching the DVD, otherwise I would have appreciated the stupidity in real-time. <br /><br />The storyline jumps back and forth from Slater's childhood at an orphanage where he gets flashbacks of something terrible that happened, he has amnesia, of course. In his adult life Slater was recruited by some Unit 713, a paranormal military force that apparently hunts evil or something. Slater had to leave because he was too rebellious, I guess, you never really know unless it was in one of those voice-overs I zoned out during. The movie starts with Slater hunting artifacts, obtaining his latest piece after some dealings with a ""Chilean mercenary force specializing in selling rare antiquities."" I may have the exact quote wrong, but you get the idea.<br /><br />There is an evil doctor that wants to unleash some hellions on earth (no reason given), experiments on children, super demon/alien-human hybrids, ""photonic"" bullets (the demon things can't stand sunlight) and, of course, Slater and Dorf to try to save everyone.<br /><br />Jesus, I can't even being to wade through the clichéd elements. The script badly needed reworking to narrow the focus and provide SOME depth. I mean, why is this evil scientist so damn evil? Oh right, humans are doomed and he is just trying to save the human race. I guess he's infected? How did that happen? Oh right he has one of the evil demon things in a cage and draws its blood to shoot into himself. How the hell did that happen? Why and where did he get the super slugs (oh yes, they use the old sci-fi stand by of parasitic aliens/demons which ""fuse"" with the spine of their host)Of course, Slater is, like Blade, half super-slug powered, but his slug ""didn't fully fuse due to an electrical shock,"" thank god. Oh, and the people with these ""fused"" spines, have no idea they're half-alien/demon and act as good members of the community until some secret signal is given whence they turn killer zombies. Yeah we get zombies.<br /><br />So lots of crap that could be entertaining, but none of it is.<br /><br />Also, the ending is completely stupid as everything turns out to be not that big of a deal to fix in the first place...at least nothing a little dynamite can't handle.<br /><br />Not the very worst thing you'll see, but a truly bad movie.",0
"......this film is pretty awful, the only thing stopping me from giving it a rating of 1 was the fact that I unfortunately have seen worse.<br /><br />The jungle music, juttering demons, and fluorescent UV style blood/teeth/eyes give it that ""awful"" look, and the script is dire.....this film is more like a test to see how long you can last before giving up on it. It's also predictable but not in a good way. Nothing this film does is in a good way. I watched it 10 minutes ago and thought I would rant a bit so there you are. (oh and the acting doesn't let the film down, it's also terrible)",0
"With all due disrespect for this George Stevens Sr. ""epic"" of miscastings and misreadings, I can only wonder that the James Dean ""legend"" could survive this outing, I submit that then-studio obeisances to bankable box office ""giants"" came a cropper of its own 'gigantismoses'. Nor were Rock and Liz that much better off. Let us just say that the televised ""Dallas"" was the authentic ""heir,"" even if contemp(tuous) latterday ""Texans"" like Lay and DELay, not to mention our putative ""president"" of these here Yewbenighted States of Amurrika, perform a one-upsmanship of dastardly global dimensions. I never read Edna Ferber's original, but will lay odds it is head and shoulders superior to what got on screen herein. And all those well-paid, I would imagine, ""supporting"" actors of note and celebrity notwithstanding, ""Giant"" is, to me at least, a midget of scant merit, never mind the promo campaigns.",0
"I'd give this a negative rating if I could. I went into this movie not expecting much, but I had an open mind. The whole thing is stupid! The snakes are obviously fake and the first two things they bite are a boob and a guys johnson. Oh how original; if I were a 12 year old boy I might laugh at that. I have no idea how this movie became so popular. Seriously,the worst thing I've ever seen. I wasn't entertained, it wasn't funny,I wasn't even bored! I wasn't anything. It wasn't even so bad it was good, it's just bad. Ridiculous actually. Please do not waste your money on this movie. Don't even rent this movie. No clue how it's getting such a high rating.",0
"You can't really go far when the initial story isn't all that great. The premise of cyborg's needing blood is just dopey.<br /><br />The script is blasé'. The actors don't have much to work with. The sets were staged out in the desert to cut costs. It's a trademark that if the background is the desert, then the movie has no budget.<br /><br />Lack of budget is okay, if there's a story. ""Solarbabies"" and ""Blood of Champions"" are examples of decent work from no $. but this movie looks as if they had to scrape their change together just to buy the cameraman a sandwich. Again, forgivable if only the story didn't just plain suck.<br /><br />Finally, this movie commits the biggest crime of all: It doesn't finish! It simply ends as if it's a commercial break away from the rest of the movie. But the rest never comes. Just odd.<br /><br />Just bad.",0
